kind	upstream_path	upstream_anchor	public_surface	functions_classes	control_flow_anchors	error_branch_anchors	grammY4cj_modules	gap	phase	test_files	current_anchor	test_anchor	coverage_notes
runtime	src/core/client.ts	grammY/src/core/client.ts:112	RawApi, Payload, WebhookReplyEnvelope, ApiClientOptions, Transformer	createRawApi; defaultBuildUrl; createTimeout; createStreamError; validateSignal	grammY/src/core/client.ts:279 fetch race; grammY/src/core/client.ts:333 transformer chain; grammY/src/core/client.ts:363 raw Proxy	grammY/src/core/client.ts:413 response error handling; grammY/src/core/client.ts:486 signal validation	src/core/client.cj;src/core/cancel.cj	GAP-04	GAP-04.1..GAP-04.5	src/core/client_test.cj;src/core/cancel_test.cj	grammY4cj/src/core/client.cj:159	grammY4cj/src/core/client_test.cj:1	Fetch options, baseFetchConfig, signal, timeout, stream error, and transformer evidence.
runtime	src/core/error.ts	grammY/src/core/error.ts:16	GrammyError and HttpError	toGrammyError; toHttpError; isTelegramError	grammY/src/core/error.ts:40 toGrammyError; grammY/src/core/error.ts:97 toHttpError	grammY/src/core/error.ts:89 Telegram error guard; grammY/src/core/error.ts:78 HttpError	src/core/error.cj	GAP-04	GAP-04.5	src/core/error_test.cj	grammY4cj/src/core/error.cj:1	grammY4cj/src/core/error_test.cj:1	Error mapping and sensitive log evidence.
runtime	src/core/payload.ts	grammY/src/core/payload.ts:12	requiresFormDataUpload, createJsonPayload, createFormDataPayload	requiresFormDataUpload; protectItr; payloadToMultipartItr; collectFiles; filePart	grammY/src/core/payload.ts:12 recursive upload scan; grammY/src/core/payload.ts:106 multipart iterator; grammY/src/core/payload.ts:160 collectFiles	grammY/src/core/payload.ts:50 protectItr error callback; grammY/src/core/payload.ts:184 filePart filename validation	src/core/payload.cj	GAP-03	GAP-03.1..GAP-03.5	src/core/payload_test.cj	grammY4cj/src/core/payload.cj:505	grammY4cj/src/core/payload_test.cj:1	Payload recursion, nullish JSON, multipart, attach id, and stream evidence.
runtime	src/filter.ts	grammY/src/filter.ts:33	matchFilter, parse, preprocess, FilterQuery, Filter	matchFilter; parse; preprocess; check; treeify; arborist	grammY/src/filter.ts:60 shortcut expansion; grammY/src/filter.ts:105 validation; grammY/src/filter.ts:182 arborist matcher	grammY/src/filter.ts:122 invalid filter diagnostics	src/filter/filter.cj	GAP-07	GAP-07.1..GAP-07.5	src/filter/filter_test.cj	grammY4cj/src/filter/filter.cj:49	grammY4cj/src/filter/filter_test.cj:1	Filter parser, shortcut, validation, and object matcher evidence.
runtime	src/mod.ts	grammY/src/mod.ts:1	root exports	Bot, InputFile, Context, constants, builders, session, webhook, Composer, filter, Api, errors exports	grammY/src/mod.ts:2 export groups; grammY/src/mod.ts:51 Api export	n/a export facade	src/mod.cj;src/architecture/root_public_export_manifest.tsv	GAP-12	GAP-12.4	src/mod_test.cj	grammY4cj/src/mod.cj:1	grammY4cj/src/mod_test.cj:1	Root public export and package entry evidence.
runtime	src/platform.deno.ts	grammY/src/platform.deno.ts:4	isDeno, debug, itrToStream, baseFetchConfig, defaultAdapter	itrToStream; baseFetchConfig	grammY/src/platform.deno.ts:10 Deno env permission; grammY/src/platform.deno.ts:22 ReadableStream	grammY/src/platform.deno.ts:15 env permission branch	src/platform/platform.cj	GAP-12	GAP-12.1..GAP-12.3	src/platform/platform_test.cj	grammY4cj/src/platform/platform.cj:588	grammY4cj/src/platform/platform_test.cj:1	Deno-equivalent platform facade evidence.
runtime	src/platform.node.ts	grammY/src/platform.node.ts:11	itrToStream, baseFetchConfig, defaultAdapter	getCached; baseFetchConfig	grammY/src/platform.node.ts:17 agent cache; grammY/src/platform.node.ts:25 apiRoot branch; grammY/src/platform.node.ts:47 express default	grammY/src/platform.node.ts:26 https branch; grammY/src/platform.node.ts:35 http branch	src/platform/platform.cj	GAP-12	GAP-12.1..GAP-12.3	src/platform/platform_test.cj	grammY4cj/src/platform/platform.cj:572	grammY4cj/src/platform/platform_test.cj:1	Node-equivalent keepAlive and stream facade evidence.
runtime	src/platform.web.ts	grammY/src/platform.web.ts:4	debug, itrToStream, baseFetchConfig, defaultAdapter	itrToStream; baseFetchConfig	grammY/src/platform.web.ts:8 ReadableStream wrapper; grammY/src/platform.web.ts:23 cloudflare default	grammY/src/platform.web.ts:10 iterator pull branch	src/platform/platform.cj	GAP-12	GAP-12.1..GAP-12.3	src/platform/platform_test.cj	grammY4cj/src/platform/platform.cj:572	grammY4cj/src/platform/platform_test.cj:1	Web-equivalent platform facade evidence.
runtime	src/shim.node.ts	grammY/src/shim.node.ts:1	AbortController, AbortSignal, fetch shim	Node shim exports	grammY/src/shim.node.ts:1 abort-controller; grammY/src/shim.node.ts:2 node-fetch	n/a shim-only	src/platform/platform.cj;src/core/cancel.cj	GAP-12	GAP-12.1	src/platform/platform_test.cj;src/core/cancel_test.cj	grammY4cj/src/core/cancel.cj:1	grammY4cj/src/core/cancel_test.cj:1	Node shim contract evidence.
runtime	src/types.deno.ts	grammY/src/types.deno.ts:52	InputFile plus ApiMethods, Opts, InputSticker, InputMedia, InputPaidMedia, InputProfilePhoto, InputStoryContent aliases	InputFile class; fetchFile; isDenoFile	grammY/src/types.deno.ts:87 filename source branch; grammY/src/types.deno.ts:114 toRaw; grammY/src/types.deno.ts:144 supplier unwrap	grammY/src/types.deno.ts:118 reuse error; grammY/src/types.deno.ts:124 unsupported Deno path; grammY/src/types.deno.ts:160 fetch empty body	src/types/input_file.cj;src/types/telegram_types.cj;src/types/telegram_type_manifest.cj	GAP-01,GAP-02	GAP-01.1,GAP-02.1..GAP-02.6	src/types/types_test.cj	grammY4cj/src/types/input_file.cj:622	grammY4cj/src/types/types_test.cj:1	Deno type facade, InputFile source, alias, and version evidence.
runtime	src/types.node.ts	grammY/src/types.node.ts:51	InputFile plus ApiMethods, Opts, InputSticker, InputMedia, InputPaidMedia, InputProfilePhoto, InputStoryContent aliases	InputFile class; fetchFile	grammY/src/types.node.ts:83 filename source branch; grammY/src/types.node.ts:110 toRaw; grammY/src/types.node.ts:120 URL branch	grammY/src/types.node.ts:114 reuse error; grammY/src/types.node.ts:145 string chunk error	src/types/input_file.cj;src/types/telegram_types.cj;src/types/telegram_type_manifest.cj	GAP-01,GAP-02	GAP-01.1,GAP-02.1..GAP-02.6	src/types/types_test.cj	grammY4cj/src/types/input_file.cj:622	grammY4cj/src/types/types_test.cj:1	Node type facade, InputFile source, alias, and version evidence.
runtime	src/types.ts	grammY/src/types.ts:1	type facade re-export	re-export from types.deno	grammY/src/types.ts:1 facade selection	n/a facade-only	src/types/telegram_types.cj;src/types/input_file.cj	GAP-01	GAP-01.1..GAP-01.6	src/types/types_test.cj	grammY4cj/src/types/telegram_types.cj:175	grammY4cj/src/types/types_test.cj:1	Telegram object manifest, InputFile-bound alias, and type sync dry-run admission evidence.
runtime	src/types.web.ts	grammY/src/types.web.ts:47	InputFile plus ApiMethods, Opts, InputSticker, InputMedia, InputPaidMedia, InputProfilePhoto, InputStoryContent aliases	InputFile class; fetchFile	grammY/src/types.web.ts:80 filename source branch; grammY/src/types.web.ts:93 toRaw; grammY/src/types.web.ts:106 supplier unwrap	grammY/src/types.web.ts:97 reuse error; grammY/src/types.web.ts:116 no response body	src/types/input_file.cj;src/types/telegram_types.cj;src/types/telegram_type_manifest.cj	GAP-01,GAP-02	GAP-01.1,GAP-02.1..GAP-02.6	src/types/types_test.cj	grammY4cj/src/types/input_file.cj:622	grammY4cj/src/types/types_test.cj:1	Web type facade, InputFile source, alias, and version evidence.
test	test/bot.test.ts	grammY/test/bot.test.ts:48	27 upstream bot test declarations	describe/it lifecycle tests	grammY/test/bot.test.ts:65 init; grammY/test/bot.test.ts:220 process updates; grammY/test/bot.test.ts:716 polling	grammY/test/bot.test.ts:54 invalid token; grammY/test/bot.test.ts:336 middleware errors	src/bot/bot.cj	GAP-09	GAP-09.1..GAP-09.5	src/bot/bot_test.cj	grammY4cj/src/bot/bot_test.cj:1	grammY4cj/src/bot/bot_test.cj:48	Bot upstream test parity evidence.
test	test/composer.test.ts	grammY/test/composer.test.ts:1	43 upstream composer runtime tests	describe/it middleware tests	grammY/test/composer.test.ts:1 runtime controls	grammY/test/composer.test.ts:1 error and duplicate next branches	src/composer/composer.cj	GAP-08	GAP-08.1..GAP-08.5	src/composer/composer_test.cj	grammY4cj/src/composer/composer_test.cj:1	grammY4cj/src/composer/composer_test.cj:1	Composer runtime test parity evidence.
test	test/composer.type.test.ts	grammY/test/composer.type.test.ts:21	14 upstream composer type tests	describe/it type assertions	grammY/test/composer.type.test.ts:21 property type tests	n/a compile-only	src/composer/composer.cj	GAP-08	GAP-08.5	src/composer/composer_type_test.cj	grammY4cj/src/composer/composer_type_test.cj:1	grammY4cj/src/composer/composer_type_test.cj:1	Composer type surface evidence.
test	test/context.test.ts	grammY/test/context.test.ts:57	23 upstream context runtime tests	describe/it getter and trigger tests	grammY/test/context.test.ts:57 update shortcuts; grammY/test/context.test.ts:397 commands; grammY/test/context.test.ts:531 filter queries	grammY/test/context.test.ts:1 missing info cases via orThrow	src/context/context.cj	GAP-06	GAP-06.1..GAP-06.5	src/context/context_test.cj	grammY4cj/src/context/context_test.cj:1	grammY4cj/src/context/context_test.cj:1	Context runtime test parity evidence.
test	test/context.type.test.ts	grammY/test/context.type.test.ts:1	1 upstream context type test	type assertion test	grammY/test/context.type.test.ts:1 type narrowing	n/a compile-only	src/context/context.cj	GAP-06	GAP-06.5	src/context/context_type_test.cj	grammY4cj/src/context/context_type_test.cj:1	grammY4cj/src/context/context_type_test.cj:1	Context type-surface evidence.
test	test/convenience/constants.test.ts	grammY/test/convenience/constants.test.ts:1	constants parity tests	describe/it constants tests	grammY/test/convenience/constants.test.ts:1 API constants	n/a constants-only	src/convenience/constants.cj	GAP-12	GAP-12.5	src/convenience/constants_test.cj	grammY4cj/src/convenience/constants_test.cj:1	grammY4cj/src/convenience/constants_test.cj:1	Constants test parity evidence.
test	test/convenience/frameworks.test.ts	grammY/test/convenience/frameworks.test.ts:6	1 upstream framework malformed-body test	describe/it framework tests	grammY/test/convenience/frameworks.test.ts:6 malformed JSON rejection	grammY/test/convenience/frameworks.test.ts:6 rejection branch	src/convenience/frameworks.cj	GAP-10	GAP-10.1..GAP-10.2	src/convenience/frameworks_test.cj	grammY4cj/src/convenience/frameworks_test.cj:49	grammY4cj/src/convenience/frameworks_test.cj:49	Framework test parity evidence.
test	test/convenience/inline_query.test.ts	grammY/test/convenience/inline_query.test.ts:9	97 upstream inline query builder tests	describe/it builder goldens	grammY/test/convenience/inline_query.test.ts:9 article; grammY/test/convenience/inline_query.test.ts:1273 photo; grammY/test/convenience/inline_query.test.ts:2331 voice	n/a builder goldens	src/convenience/inline_query.cj	GAP-01	GAP-01.5	src/convenience/inline_query_test.cj	grammY4cj/src/convenience/inline_query_test.cj:64	grammY4cj/src/convenience/inline_query_test.cj:64	Inline query builder test parity evidence.
test	test/convenience/input_media.test.ts	grammY/test/convenience/input_media.test.ts:1	5 upstream input media builder tests	describe/it input media goldens	grammY/test/convenience/input_media.test.ts:1 photo/video/audio/document builder cases	n/a builder goldens	src/convenience/input_media.cj	GAP-01	GAP-01.5	src/convenience/input_media_test.cj	grammY4cj/src/convenience/input_media_test.cj:7	grammY4cj/src/convenience/input_media_test.cj:7	Input media builder test parity evidence.
test	test/convenience/keyboard.test.ts	grammY/test/convenience/keyboard.test.ts:11	15 upstream keyboard tests	describe/it keyboard and inline keyboard goldens	grammY/test/convenience/keyboard.test.ts:11 initial buttons; grammY/test/convenience/keyboard.test.ts:74 transpose; grammY/test/convenience/keyboard.test.ts:92 wrap	n/a builder goldens	src/convenience/keyboard.cj	GAP-01	GAP-01.5	src/convenience/keyboard_test.cj	grammY4cj/src/convenience/keyboard_test.cj:1	grammY4cj/src/convenience/keyboard_test.cj:1	Keyboard builder test parity evidence.
test	test/convenience/session.test.ts	grammY/test/convenience/session.test.ts:29	37 upstream session tests	describe/it strict lazy multi enhance tests	grammY/test/convenience/session.test.ts:29 pass-through; grammY/test/convenience/session.test.ts:489 multi; grammY/test/convenience/session.test.ts:963 memory storage	grammY/test/convenience/session.test.ts:39 empty key read; grammY/test/convenience/session.test.ts:71 skip write upon error	src/convenience/session.cj	GAP-11	GAP-11.1..GAP-11.5	src/convenience/session_test.cj	grammY4cj/src/convenience/session_test.cj:1	grammY4cj/src/convenience/session_test.cj:1	Session test parity evidence.
test	test/convenience/webhook.test.ts	grammY/test/convenience/webhook.test.ts:34	29 upstream webhook/framework compatibility tests	describe/it adapter and webhook tests	grammY/test/convenience/webhook.test.ts:34 adapter compatibility; grammY/test/convenience/webhook.test.ts:206 secret; grammY/test/convenience/webhook.test.ts:311 timeout	grammY/test/convenience/webhook.test.ts:177 already running; grammY/test/convenience/webhook.test.ts:206 wrong secret	src/convenience/webhook.cj;src/convenience/frameworks.cj	GAP-10	GAP-10.3..GAP-10.5	src/convenience/webhook_test.cj	grammY4cj/src/convenience/webhook_test.cj:1	grammY4cj/src/convenience/webhook_test.cj:1	Webhook test parity evidence.
test	test/core/client.test.ts	grammY/test/core/client.test.ts:45	2 upstream client tests	describe/it client tests	grammY/test/core/client.test.ts:45 returns payloads	grammY/test/core/client.test.ts:51 throws errors	src/core/client.cj	GAP-04	GAP-04.1..GAP-04.5	src/core/client_test.cj	grammY4cj/src/core/client_test.cj:1	grammY4cj/src/core/client_test.cj:1	Client test parity evidence.
test	test/core/error.test.ts	grammY/test/core/error.test.ts:1	4 upstream error tests	describe/it error tests	grammY/test/core/error.test.ts:1 error conversion	grammY/test/core/error.test.ts:1 HTTP and Grammy error paths	src/core/error.cj	GAP-04	GAP-04.5	src/core/error_test.cj	grammY4cj/src/core/error_test.cj:1	grammY4cj/src/core/error_test.cj:1	Error test parity evidence.
test	test/core/payload.test.ts	grammY/test/core/payload.test.ts:16	5 upstream payload tests	describe/it payload tests	grammY/test/core/payload.test.ts:16 primitives; grammY/test/core/payload.test.ts:37 InputFiles; grammY/test/core/payload.test.ts:47 multipart	grammY/test/core/payload.test.ts:1 stream error cases	src/core/payload.cj	GAP-03	GAP-03.1..GAP-03.5	src/core/payload_test.cj	grammY4cj/src/core/payload_test.cj:1	grammY4cj/src/core/payload_test.cj:1	Payload test parity evidence.
test	test/deps.test.ts	grammY/test/deps.test.ts:1	dependency policy test file	import/dependency assertions	grammY/test/deps.test.ts:1 dependency boundary	n/a policy-only	src/architecture/dependency_boundary_test.cj;scripts/check_dependency_boundaries.sh	GAP-12	GAP-12.5	src/architecture/dependency_boundary_test.cj	grammY4cj/src/architecture/dependency_boundary_test.cj:6	grammY4cj/src/architecture/dependency_boundary_test.cj:6	Dependency boundary evidence.
test	test/filter.test.ts	grammY/test/filter.test.ts:11	11 upstream filter tests	describe/it filter parser and matcher tests	grammY/test/filter.test.ts:11 reject empty; grammY/test/filter.test.ts:23 L1; grammY/test/filter.test.ts:87 L3	grammY/test/filter.test.ts:11 reject empty; grammY/test/filter.test.ts:18 invalid omissions	src/filter/filter.cj	GAP-07	GAP-07.1..GAP-07.5	src/filter/filter_test.cj	grammY4cj/src/filter/filter_test.cj:1	grammY4cj/src/filter/filter_test.cj:1	Filter test parity evidence.
test	test/types.test.ts	grammY/test/types.test.ts:12	10 upstream InputFile tests	Deno.test InputFile source tests	grammY/test/types.test.ts:12 filename; grammY/test/types.test.ts:75 bytes; grammY/test/types.test.ts:133 supplier	grammY/test/types.test.ts:39 reuse; grammY/test/types.test.ts:145 unsupported or error source	src/types/input_file.cj;src/types/telegram_types.cj	GAP-01,GAP-02	GAP-01.1,GAP-02.1..GAP-02.6	src/types/types_test.cj	grammY4cj/src/types/types_test.cj:1	grammY4cj/src/types/types_test.cj:1	Type and InputFile test parity evidence.
